id;member_id;created_by_member_id;service_id;status;status_tlm;when_created
1;32518;66592;72960;DRAFT;2019-10-16T22:53:55;2019-10-17T01:02:30
2;11959;97171;71324;ACTIVE;2019-10-16T22:22:51;2019-10-17T09:15:41
3;52273;71066;42754;DRAFT;2019-10-17T07:38:32;2019-10-17T05:23:26
4;3142;89576;63641;INACTIVE;2019-10-16T12:27:01;2019-10-17T06:53:16
5;24929;60441;41038;DRAFT;2019-10-17T08:23:03;2019-10-16T19:51:33
6;28975;69478;16122;ACTIVE;2019-10-16T13:19:01;2019-10-16T23:16:30
7;80367;21844;18657;ACTIVE;2019-10-16T14:51:12;2019-10-17T07:18:06
8;89609;35629;31800;ACTIVE;2019-10-16T14:35:58;2019-10-17T01:46:12
9;86073;30478;695;INACTIVE;2019-10-17T00:12:50;2019-10-16T22:35:45
10;22210;69243;11986;ACTIVE;2019-10-16T11:36:08;2019-10-17T06:11:34
